userID	movieID	rating
112	242	3
6	302	3
605	277	4
208	234	5
893	98	4
629	241	5
660	4	5
508	181	5
159	384	4
98	1049	1
756	5	3
756	685	3
879	328	5
208	174	5
591	832	3
756	471	3
860	504	4
660	268	3
775	323	2
660	79	4
209	328	4
771	328	4
756	1267	3
315	216	4
98	1079	3
98	77	3
77	476	2
724	174	5
88	220	4
243	471	4
180	234	4
87	181	3
860	127	4
893	790	4
104	323	2
280	171	4
231	328	1
77	591	3
98	172	4
893	401	4
605	242	3
893	56	4
860	367	3
591	501	3
893	79	5
893	554	3
623	484	5
717	321	5
277	323	2
893	227	3
893	191	3
98	229	3
316	302	4
494	678	3
77	258	4
77	1115	2
925	321	3
394	323	3
860	522	5
860	845	1
233	186	4
742	176	5
371	186	3
893	604	4
98	501	2
756	135	5
330	80	4
925	471	4
98	587	3
660	111	1
860	217	2
464	328	4
756	770	3
163	252	3
459	350	3
860	246	5
742	419	5
274	50	5
717	187	4
98	168	4
356	174	4
331	187	4
756	249	3
117	8	3
450	181	4
893	33	4
755	301	3
933	484	4
860	198	4
845	740	3
860	22	1
860	507	4
860	234	1
372	181	4
428	323	1
190	181	4
729	242	5
233	809	4
117	127	2
860	705	2
77	13	3
912	588	5
485	409	2
159	367	4
220	127	4
98	794	3
98	739	2
547	128	5
725	432	4
212	171	5
710	216	4
102	216	5
742	96	4
90	323	4
901	302	4
547	80	4
416	328	3
98	515	4
524	234	4
905	187	5
265	588	3
742	568	4
756	423	3
637	181	5
670	80	4
540	190	4
77	318	5
331	487	3
870	302	4
725	179	2
98	121	5
77	845	3
392	328	5
286	323	4
725	654	3
743	50	4
670	190	5
106	301	2
917	301	2
464	301	4
651	216	5
521	181	5
463	186	3
660	1016	5
98	831	2
236	8	5
786	216	3
660	873	1
85	234	3
334	234	3
725	98	5
725	9	4
893	523	4
331	241	2
508	501	3
756	137	3
233	181	5
77	68	2
939	50	5
858	234	4
77	107	3
806	216	4
389	319	2
756	380	2
77	58	3
87	187	4
17	234	3
257	50	5
776	127	5
492	174	1
469	302	3
77	554	2
105	50	5
756	708	3
228	171	3
928	220	4
77	65	3
303	128	2
756	325	2
893	138	2
547	241	3
337	181	5
641	174	3
447	302	5
318	61	4
865	355	3
459	331	3
905	174	4
915	242	3
660	403	4
220	487	5
786	174	4
273	181	5
98	747	4
56	588	5
447	323	1
444	174	5
88	328	3
836	174	5
756	166	3
315	234	5
660	246	3
77	25	4
98	1209	1
98	241	3
171	321	2
560	302	3
829	50	4
265	282	3
77	1350	2
725	559	2
660	274	1
537	740	4
717	277	3
918	277	4
265	187	5
220	220	3
925	282	1
786	471	4
318	175	4
742	1451	4
556	127	5
725	566	4
98	540	2
756	412	1
459	250	4
860	1165	1
706	252	1
531	678	3
459	255	3
443	187	5
746	8	5
725	386	3
742	416	5
798	302	4
305	328	4
262	471	4
98	176	5
390	216	4
98	180	5
98	790	3
387	282	3
783	187	4
77	1046	4
17	588	4
162	276	3
725	143	3
459	751	3
133	588	4
98	216	3
459	942	3
860	13	4
660	50	5
98	709	2
370	539	3
725	716	4
641	553	4
756	132	4
180	301	2
770	484	5
117	588	4
592	367	2
98	115	3
893	660	4
303	241	4
860	674	2
581	471	3
756	39	3
77	192	3
806	740	4
98	15	3
725	419	3
243	50	5
416	8	2
98	81	3
459	1216	3
783	553	2
459	271	4
330	501	4
608	282	3
742	510	4
77	716	3
256	282	4
860	235	3
466	80	1
660	354	2
372	252	4
860	9	4
756	79	3
98	665	3
98	731	4
725	203	5
742	197	4
742	117	3
98	528	4
77	1436	3
725	849	3
725	83	5
98	846	3
250	127	4
756	605	3
613	496	4
162	678	3
137	302	5
265	501	3
893	202	5
387	127	5
893	1228	4
98	24	3
725	5	3
925	181	5
860	47	4
85	187	5
752	252	3
122	127	5
98	219	4
162	282	3
860	658	2
756	496	5
860	793	4
660	742	5
756	748	2
713	216	4
497	50	4
756	779	1
410	276	1
77	4	4
717	181	4
236	471	3
826	539	2
330	471	4
77	87	4
371	409	4
463	501	3
87	234	3
701	127	4
189	242	5
163	277	3
243	187	4
228	528	5
303	190	5
581	252	3
691	234	4
756	288	3
591	487	3
318	582	3
860	285	5
443	220	3
613	287	3
265	277	2
459	7	2
865	260	4
208	187	5
539	678	1
660	181	5
756	346	3
228	650	3
725	385	5
860	156	5
858	528	4
605	50	4
725	172	5
228	127	5
860	82	2
77	810	2
510	181	5
884	242	4
875	174	5
776	96	3
725	1222	3
286	588	2
556	128	3
660	182	4
776	71	4
473	22	4
537	190	3
403	181	4
77	121	3
789	484	3
692	321	1
860	729	2
77	864	3
724	328	3
860	616	4
133	186	3
746	127	5
163	302	4
98	289	3
539	127	2
88	302	2
672	409	3
660	597	4
163	323	1
893	174	5
98	1142	4
660	410	5
331	50	4
756	629	3
228	241	4
47	186	4
727	174	5
466	471	5
485	8	3
467	678	2
98	106	3
227	127	5
789	50	5
637	384	3
372	8	5
56	241	4
77	531	4
756	1161	2
273	50	5
793	323	2
660	168	5
120	242	5
392	323	5
93	276	3
531	528	3
400	50	4
756	665	2
756	36	1
98	453	1
725	180	4
98	79	4
660	204	4
243	186	4
77	827	3
725	28	5
318	92	4
733	174	5
316	301	4
432	528	5
486	50	2
481	471	3
162	234	4
742	921	3
87	321	3
494	328	5
725	68	1
860	106	1
660	895	3
865	50	5
371	216	4
183	588	1
369	50	3
893	606	3
713	50	4
725	662	4
725	661	3
524	174	3
82	191	4
98	521	4
77	203	3
725	366	5
915	302	4
786	186	4
725	505	4
430	323	3
654	127	5
459	185	3
97	174	5
77	787	3
860	923	4
724	276	5
725	568	5
475	241	4
860	411	1
77	410	3
29	489	4
97	128	3
265	629	3
725	403	4
459	301	3
77	508	4
756	293	4
860	514	4
305	186	3
82	533	4
617	588	2
77	98	4
459	262	3
228	174	5
725	495	4
474	528	5
558	301	3
725	181	4
524	127	5
660	508	4
893	496	5
756	724	3
637	301	4
781	409	4
98	763	3
660	546	4
473	186	4
756	167	3
235	174	2
305	181	5
473	480	4
6	588	4
98	947	4
725	229	5
725	141	4
47	260	1
82	461	3
860	478	4
318	135	5
527	174	5
756	729	2
893	172	5
459	248	3
742	333	2
570	260	4
725	70	4
692	355	4
860	1020	4
860	136	4
725	213	4
77	14	4
756	931	1
98	781	3
581	282	3
371	220	2
725	73	4
639	260	4
893	610	3
443	8	4
756	1220	2
725	518	3
287	301	2
77	746	4
443	50	5
455	678	1
756	148	1
17	216	4
591	174	4
340	187	5
725	348	4
212	186	4
756	227	2
626	216	4
77	133	4
366	8	3
585	8	2
394	553	4
494	690	2
98	1016	2
771	216	5
98	386	3
792	50	5
82	210	3
485	80	2
756	156	4
443	242	4
860	961	5
893	395	1
77	754	4
98	715	4
806	127	5
756	484	5
860	640	5
98	928	3
660	682	2
406	384	3
893	184	4
811	216	3
77	170	4
517	276	5
806	528	4
277	528	4
558	319	4
524	282	2
893	1035	4
473	69	2
756	705	5
77	290	2
98	134	4
459	750	4
387	539	4
473	153	4
318	811	4
394	328	4
82	805	4
98	756	3
473	50	5
45	234	4
877	127	5
56	409	2
578	319	4
860	922	5
77	468	4
893	58	4
29	321	4
613	631	4
547	186	5
98	1095	2
180	216	4
936	521	4
783	489	5
725	22	4
82	300	2
408	323	4
195	323	2
82	702	2
77	131	3
775	321	4
243	216	5
473	168	3
920	471	3
860	210	1
481	50	5
613	131	4
423	187	3
98	619	4
318	276	5
860	72	2
370	181	4
473	468	3
98	175	4
756	654	5
893	53	1
893	384	5
82	274	2
701	678	3
180	186	4
77	1242	5
725	1116	3
660	124	2
742	523	5
882	282	4
860	168	4
915	484	4
783	301	4
893	25	3
761	691	5
17	301	4
7	315	4
450	127	3
320	276	5
893	1112	4
82	192	5
904	328	3
756	1132	3
725	233	4
649	276	4
754	276	3
613	134	3
756	157	5
473	282	2
227	8	4
318	1129	5
725	553	3
508	174	5
746	234	5
459	1082	3
536	50	3
364	174	5
212	260	1
77	273	4
473	496	5
98	1215	2
832	242	4
98	673	4
473	54	3
770	302	4
61	174	5
756	195	3
756	566	3
570	127	4
87	735	4
781	588	4
98	672	3
77	269	4
7	352	5
860	412	3
893	11	4
82	230	4
613	523	3
771	384	5
212	174	5
77	642	3
860	180	3
725	205	5
261	328	3
742	97	4
756	87	4
174	50	5
45	50	4
717	521	4
412	301	4
98	431	4
701	181	1
459	1016	2
77	576	3
660	421	3
243	302	4
853	50	5
260	234	4
162	302	4
756	521	3
756	849	2
122	323	4
473	675	4
613	615	5
443	241	3
617	127	5
613	207	3
725	99	5
459	187	5
531	301	3
87	216	3
430	501	2
77	529	4
570	174	3
613	194	3
77	1102	3
860	340	5
88	321	2
212	80	4
730	501	4
860	205	3
742	272	5
756	386	2
77	1098	4
539	301	4
459	484	4
725	484	4
893	515	3
81	252	3
756	124	4
315	50	5
459	880	3
17	282	3
860	76	3
189	319	4
709	471	5
459	257	3
331	471	3
742	86	4
412	174	4
742	892	3
660	741	3
82	558	4
725	482	4
65	276	4
133	174	4
860	172	3
905	528	3
936	216	3
59	319	2
463	588	3
660	1052	1
860	131	5
725	720	3
725	94	3
366	216	4
82	497	4
481	8	3
410	735	5
416	323	2
45	282	4
756	559	2
82	169	2
641	50	2
756	216	4
82	655	4
904	260	1
459	313	5
463	252	2
30	328	3
560	181	5
82	474	3
725	692	4
122	328	3
756	264	3
540	588	4
580	321	3
793	328	3
781	252	2
860	174	1
742	521	3
220	276	3
286	127	5
82	133	4
82	431	3
847	328	3
860	1014	3
756	514	4
860	214	3
860	529	5
139	186	5
303	8	5
98	87	3
98	931	1
860	405	1
17	277	3
691	50	5
82	93	4
98	1212	3
742	183	4
406	241	1
508	127	3
98	85	3
725	117	4
82	811	4
79	319	2
776	31	4
893	95	5
860	805	2
792	384	1
725	118	3
756	647	5
416	216	5
233	319	4
459	905	2
605	301	5
756	251	4
268	678	2
860	474	4
911	809	3
78	187	3
439	740	2
77	134	4
239	282	4
756	461	2
473	444	4
700	301	2
138	186	4
660	118	2
911	302	3
893	456	3
692	302	4
27	321	3
860	771	1
82	962	3
180	252	4
82	451	4
166	8	5
725	310	4
756	194	4
781	282	5
47	241	3
469	8	5
459	760	3
273	174	4
82	216	3
82	1098	4
318	531	4
893	410	4
936	528	5
166	484	5
473	318	5
761	521	4
590	186	3
860	608	4
845	174	3
387	678	2
522	301	5
77	1283	4
847	302	3
459	195	4
589	127	5
459	887	3
613	521	2
90	539	4
860	486	3
77	186	4
893	9	3
56	528	4
17	678	3
649	216	5
725	38	3
613	224	3
521	127	5
742	678	2
725	471	4
82	849	2
860	959	5
860	15	2
591	740	3
860	483	4
761	487	5
756	210	3
353	735	5
860	484	3
860	1091	2
756	188	3
7	258	4
613	1028	2
183	50	1
860	761	2
725	671	3
507	321	3
860	209	4
303	809	3
912	521	2
247	242	4
756	646	3
400	260	2
524	181	4
333	409	4
318	100	5
82	50	3
355	367	4
756	572	2
860	63	1
722	242	2
353	471	5
459	758	1
47	328	3
98	132	3
860	482	3
286	241	4
847	528	4
497	282	3
832	8	3
660	203	4
88	301	2
82	14	4
911	186	4
792	501	3
924	328	3
406	234	2
459	259	4
98	595	3
860	664	5
870	276	5
893	771	2
783	241	5
853	484	5
98	785	3
756	125	2
133	50	4
98	1047	1
863	367	4
627	328	3
668	127	5
318	258	3
613	507	3
756	300	2
163	181	5
34	501	4
98	123	2
394	216	5
742	514	3
860	188	2
355	190	4
733	187	5
725	367	3
318	518	3
446	181	3
590	678	4
77	294	3
47	321	4
233	302	5
756	1098	2
893	123	4
560	328	4
17	629	3
161	501	4
385	174	4
847	50	5
321	319	3
893	230	4
265	241	3
725	204	5
893	732	4
84	323	3
756	553	3
832	190	4
177	8	4
660	1119	4
725	433	3
651	127	5
725	469	5
537	521	2
641	252	3
77	53	1
882	8	4
410	328	4
82	469	4
318	12	3
756	172	5
233	409	3
41	321	2
756	68	3
430	234	2
331	521	3
775	328	2
334	323	2
853	187	5
137	282	3
98	42	4
860	211	4
613	483	5
776	56	2
195	328	5
98	825	4
723	328	4
315	276	4
742	486	4
262	328	4
756	655	3
893	89	2
231	260	1
591	216	3
183	735	4
865	553	3
660	346	4
98	48	4
459	840	1
865	174	5
331	8	5
924	234	3
340	8	4
815	174	5
756	781	2
725	378	5
725	951	3
394	241	4
863	174	4
556	323	2
472	242	5
755	220	5
98	1041	3
331	501	4
752	181	3
756	282	2
725	258	4
893	483	4
138	187	4
366	234	3
159	629	4
725	82	5
403	174	4
821	832	1
21	301	4
403	50	5
623	181	3
421	190	3
280	234	3
82	143	4
459	806	4
77	313	4
45	174	5
139	588	4
847	521	4
473	732	5
733	50	4
77	42	4
860	153	3
318	690	2
860	654	4
725	178	5
756	144	4
82	215	4
82	886	2
133	367	4
756	239	3
459	1253	2
756	1101	3
82	82	2
832	276	5
308	553	3
836	367	3
314	50	4
626	127	2
77	1378	3
725	326	2
685	50	5
228	489	3
660	258	5
537	735	3
98	778	4
625	469	4
473	646	2
613	30	4
88	319	3
560	187	5
860	179	4
423	735	5
98	281	3
151	127	5
473	503	3
486	384	3
858	181	1
473	526	5
163	234	5
756	153	4
366	302	5
180	323	4
82	90	3
82	949	4
82	237	4
98	252	4
412	181	5
893	692	3
456	187	3
756	447	4
394	501	4
724	252	3
439	174	4
133	501	3
585	471	3
725	174	5
161	216	4
783	323	3
303	277	4
756	134	5
186	190	4
756	257	2
905	319	4
385	501	3
613	1194	5
775	319	3
77	156	2
860	492	4
98	717	3
98	561	3
893	514	3
756	657	4
660	123	3
98	660	4
473	448	3
569	301	5
725	526	5
822	174	5
893	511	4
459	180	5
742	79	4
860	435	3
725	708	5
860	64	4
754	216	5
77	135	2
188	302	3
492	678	2
22	127	4
860	137	4
245	234	5
17	50	5
756	202	3
52	302	5
882	276	4
417	8	4
385	678	3
742	82	4
727	181	4
473	528	3
7	333	4
893	651	5
316	328	3
756	99	3
660	196	4
237	127	5
699	8	5
78	181	4
660	232	4
233	190	4
882	302	5
473	79	4
905	521	3
459	661	4
355	181	3
98	423	3
445	328	3
318	59	4
725	431	4
340	181	4
98	628	4
893	187	4
268	234	5
725	212	3
725	275	4
725	470	3
924	276	4
257	190	4
756	943	2
439	187	4
459	199	4
725	588	4
660	11	5
860	316	4
82	144	4
917	487	5
274	216	4
82	435	4
865	471	4
613	485	4
459	604	3
582	588	3
77	28	4
742	69	5
297	588	3
756	8	3
660	963	3
889	50	5
97	471	5
459	294	2
473	185	5
613	494	4
98	1213	2
78	484	5
257	301	4
863	216	5
776	176	3
860	293	3
756	23	4
756	322	2
917	528	4
898	328	4
605	323	1
233	384	2
915	50	5
473	134	3
320	50	5
829	276	4
756	228	3
77	183	2
893	77	3
98	834	1
668	740	2
77	171	3
416	276	4
77	1118	3
860	50	3
756	466	3
893	152	3
625	482	2
262	409	3
822	1	4
133	127	5
792	174	5
893	411	1
102	302	1
29	367	4
742	328	4
692	691	4
315	367	4
82	293	3
725	199	4
725	226	4
725	748	4
613	180	4
905	487	4
236	735	3
860	902	5
237	50	3
783	521	4
98	183	4
473	674	3
98	318	2
82	288	4
349	301	4
725	679	4
98	692	4
613	709	4
497	181	3
46	242	5
444	181	5
893	281	4
355	276	5
552	554	3
786	50	5
492	127	3
98	527	3
699	50	5
387	471	4
637	46	3
235	127	3
552	63	3
552	367	3
161	186	4
318	474	5
725	527	4
98	196	4
756	55	4
860	1480	1
47	234	4
318	333	3
756	679	2
562	50	4
98	552	3
589	276	5
286	501	1
77	150	3
853	384	3
742	1444	3
623	276	2
228	8	5
756	31	2
98	531	4
439	487	3
366	46	4
637	234	5
649	588	5
163	260	3
557	216	5
756	27	3
822	228	4
552	202	3
756	405	1
98	295	2
315	678	4
88	276	2
860	919	4
82	1067	4
756	616	3
713	127	5
188	321	1
98	313	5
742	210	3
699	181	5
280	277	4
82	32	4
832	128	2
552	8	4
860	177	5
82	478	4
725	365	4
893	168	4
660	685	3
163	80	4
82	1097	4
660	7	4
893	159	3
473	559	3
754	484	5
473	633	4
784	302	4
77	188	3
370	678	2
552	1267	3
171	260	2
473	132	4
742	245	4
98	986	2
637	282	4
893	407	2
756	12	4
893	160	2
533	321	4
860	645	4
494	342	2
318	421	3
585	276	5
741	241	5
860	272	3
151	328	4
742	127	4
725	58	3
245	241	3
552	52	5
78	521	4
82	645	4
77	245	3
860	213	5
82	173	4
473	82	3
552	356	4
717	588	5
331	328	2
756	147	2
860	497	3
82	650	4
57	678	3
786	646	5
893	684	3
421	277	4
82	188	5
756	761	2
905	234	3
660	56	5
637	276	4
623	50	4
46	678	1
473	612	2
405	276	4
364	186	3
860	387	3
139	216	4
552	1284	2
742	1473	5
98	273	4
725	627	4
725	510	4
893	380	4
756	2	3
459	531	2
893	67	2
82	198	4
4	582	5
613	8	4
4	50	5
892	276	4
171	276	5
495	181	5
459	421	3
334	629	4
98	471	4
98	596	2
625	1529	3
22	301	4
318	150	5
4	212	5
34	735	2
34	323	1
330	46	4
34	216	3
4	281	2
660	363	4
473	144	5
741	553	1
893	182	5
613	143	3
233	539	1
486	127	5
637	1274	1
756	871	1
552	65	3
860	142	1
47	735	5
82	1141	3
863	282	3
725	187	4
927	8	2
256	302	4
82	25	2
893	8	4
247	321	4
796	489	5
552	289	5
459	332	3
98	376	3
755	241	4
262	181	2
473	659	4
446	190	5
138	367	4
552	1478	3
552	274	3
98	88	3
893	216	4
473	451	2
860	506	5
98	181	4
53	1367	5
364	181	5
742	886	2
924	174	4
870	127	4
353	276	4
286	735	5
53	209	4
613	474	4
394	321	3
337	471	5
756	82	4
340	216	4
756	208	3
98	32	3
660	237	5
394	50	4
265	8	4
88	740	2
552	196	4
796	186	4
884	277	5
264	127	3
560	321	3
552	215	4
822	530	4
585	181	4
936	234	4
552	542	4
280	50	4
392	260	4
330	174	5
743	301	3
122	678	5
623	174	5
117	252	5
649	190	4
486	501	4
717	553	3
613	215	3
725	136	5
756	1147	4
77	187	5
82	238	4
770	321	4
424	216	4
725	161	4
481	735	5
328	50	5
378	174	3
725	418	4
660	369	4
304	1166	3
917	484	5
552	191	5
53	606	4
443	328	2
98	189	4
98	191	4
47	489	5
653	50	5
725	188	4
725	402	4
304	56	5
742	318	5
82	127	4
713	282	4
784	678	3
724	484	5
297	241	5
56	174	5
552	151	3
4	647	4
552	793	3
521	50	5
725	515	4
98	190	4
625	643	3
53	221	5
756	158	2
98	129	4
53	524	5
98	31	4
304	218	3
162	367	4
98	11	4
355	186	4
412	260	1
304	180	4
473	566	4
742	294	2
756	425	4
660	676	4
163	186	4
742	134	5
77	1226	2
98	581	4
613	135	4
82	233	3
860	139	1
304	514	3
53	4	2
552	272	4
98	98	5
318	64	5
304	199	4
552	1180	3
893	31	3
613	276	3
87	471	3
77	540	3
629	174	4
53	367	4
304	414	4
4	191	5
756	401	1
613	124	3
318	1158	4
133	216	5
660	1067	4
20	186	4
304	692	1
473	399	4
485	588	4
660	100	5
34	588	3
228	471	4
798	50	3
